Comment,Aspect,Date
"I studied English after the O-Level exam, but I got an “S” grade for English in o/l exam. So, is there at least any way I can face the bank exam ?",Others,2025-05-17T13:31:11Z
Bank of China very good,Others,2024-07-16T02:54:42Z
I didn’t get the user ID by an email.  Just had an email mentioning that I have activated. How to get my User ID,Digital Banking Experience,2024-02-11T21:05:18Z
I didn’t get the user id via email but I got the password via sms. What should I do ?,Digital Banking Experience,2022-10-31T01:59:50Z
Other Banks have better options.,Others,2022-10-31T10:22:49Z
Please let me know any other bank offer the same retes for 4 years more amount but monthly interest thanks,"Transaction, Payments and Accounts",2022-10-14T12:58:52Z
Bro inthe apple eppedi money transfer pannuvathu,"Transaction, Payments and Accounts",2024-06-29T08:21:50Z
"I re-register my account serval time.so i cannot register my account now. So, how do i reset my account","Transaction, Payments and Accounts",2021-07-22T06:25:30Z
How to get a business loan from Bank of Ceylon,Loans and Credit Services,2020-11-25T05:54:42Z
Commercial bank is the best when considering cutomer service,Others,2021-08-08T10:01:38Z
